time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-24 00:00:00+00:00,0,0,1,1
2025-06-26 00:00:00+00:00,0,0,1,1
2025-06-27 00:00:00+00:00,2,2,8,1
2025-07-04 00:00:00+00:00,0,0,2,1
2025-07-06 00:00:00+00:00,1,1,0,0
2025-07-09 00:00:00+00:00,0,0,1,1
2025-07-11 00:00:00+00:00,0,0,1,1
2025-07-12 00:00:00+00:00,2,2,1,1
2025-07-14 00:00:00+00:00,0,0,1,1
2025-07-17 00:00:00+00:00,1,1,0,0
2025-07-23 00:00:00+00:00,1,1,0,0
2025-07-25 00:00:00+00:00,1,1,0,0
2025-07-26 00:00:00+00:00,6,6,1,1
2025-07-27 00:00:00+00:00,0,0,3,1
2025-07-30 00:00:00+00:00,1,1,0,0
2025-08-01 00:00:00+00:00,0,0,1,1
2025-08-07 00:00:00+00:00,1,1,0,0
2025-08-10 00:00:00+00:00,0,0,1,1
2025-08-12 00:00:00+00:00,1,1,0,0
2025-08-13 00:00:00+00:00,0,0,1,1
2025-08-15 00:00:00+00:00,0,0,1,1
2025-08-18 00:00:00+00:00,1,1,1,1
2025-08-20 00:00:00+00:00,2,2,0,0
2025-08-24 00:00:00+00:00,1,1,0,0
2025-08-25 00:00:00+00:00,1,1,0,0
2025-08-26 00:00:00+00:00,0,0,1,1
2025-08-28 00:00:00+00:00,0,0,1,1
2025-09-01 00:00:00+00:00,1,1,0,0
